accuracy,dice,f1,fn,fp,id,iou,precision,recall,subset,target,tn,tp
0.9965411017922079,0.17247895550296377,0.17247893973955608,4817.0,0.0,Colour2/Color2_000579,0.09437864260021848,0.9999999998007968,0.09437864260021848,Colour2,point,1387321.0,502.0
0.9973862591911049,0.9499876343038801,0.9499875843096236,1388.0,2252.0,Colour2/Color2_000579,0.9047394729242764,0.9388425712165254,0.9614004838817503,Colour2,meniscus,1354429.0,34571.0
0.9939273609833846,0.8924086866902123,0.8924086368155375,6205.0,2252.0,Colour2/Color2_000579,0.8057201929685143,0.9396651038152989,0.8496777944647277,Colour2,all,1349110.0,35073.0
0.9957397460936785,0.1442377037336761,0.14423769034805226,5933.0,0.0,Colour2/Color2_000604,0.07772423441508279,0.9999999998,0.07772423441508279,Colour2,point,1386207.0,500.0
0.9974034926469872,0.9316084127687025,0.9316083628743052,3033.0,583.0,Colour2/Color2_000604,0.8719728083809942,0.9768751735314867,0.8903510357510923,Colour2,meniscus,1364396.0,24628.0
0.9931432387407376,0.8403310759955851,0.8403310269765955,8966.0,583.0,Colour2/Color2_000604,0.7246301583161039,0.9773248803975834,0.7370211767444799,Colour2,all,1357963.0,25128.0
0.9967306698069138,0.181850853545699,0.18185083701083402,4553.0,0.0,Colour2/Color2_000713,0.10001976675034553,0.9999999998023715,0.10001976675034553,Colour2,point,1387581.0,506.0
0.9956435259650022,0.8389904726497731,0.8389904234119316,704.0,5363.0,Colour2/Color2_000713,0.7226387491966597,0.746669815773516,0.95736175882165,Colour2,meniscus,1370766.0,15807.0
0.9923741957719876,0.7544281552033612,0.7544281052019203,5257.0,5363.0,Colour2/Color2_000713,0.6056881892080136,0.7525835024877625,0.7562818729682138,Colour2,all,1365707.0,16313.0
0.9969195197609579,0.18964865885550344,0.18964864168538742,4290.0,0.0,Colour2/Color2_000378,0.10475792988095246,0.9999999998007968,0.10475792988095246,Colour2,point,1387848.0,502.0
0.9935051413142669,0.7807113244580679,0.7807112766121346,240.0,8805.0,Colour2/Color2_000378,0.6403006442351058,0.646470729941996,0.9853130163332395,Colour2,meniscus,1367494.0,16101.0
0.9904246610752966,0.7134784383646388,0.7134783887849716,4530.0,8805.0,Colour2/Color2_000378,0.5545794642242148,0.6534556045314331,0.7856433066730438,Colour2,all,1362702.0,16603.0
0.996876436121252,0.18539325842349452,0.18539324159923143,4350.0,0.0,Colour2/Color2_000225,0.10216718266042998,0.9999999997979797,0.10216718266042998,Colour2,point,1387795.0,495.0
0.9936142865348552,0.8835430771435334,0.8835430271506645,3955.0,4938.0,Colour2/Color2_000225,0.7913812517575505,0.8723140175293556,0.8950650039774607,Colour2,meniscus,1350012.0,33735.0
0.990490722656179,0.8379129285328104,0.8379128786167019,8305.0,4938.0,Colour2/Color2_000225,0.7210414340767993,0.8739276960762001,0.804749030208523,Colour2,all,1345167.0,34230.0
0.9966488108914726,0.1770410862250566,0.17704107008500486,4667.0,0.0,Colour2/Color2_000071,0.09711743083580736,0.9999999998007968,0.09711743083580736,Colour2,point,1387471.0,502.0
0.9976785098804432,0.9547800545479337,0.954780004550205,1920.0,1313.0,Colour2/Color2_000071,0.9134728615755447,0.9629556483439708,0.9467421153339803,Colour2,meniscus,1355276.0,34131.0
0.9943273207719875,0.8976233055997491,0.8976232558321484,6587.0,1313.0,Colour2/Color2_000071,0.8142618672540985,0.9634729872559854,0.8401989325549728,Colour2,all,1350107.0,34633.0
0.996824735753605,0.18802791038949637,0.18802789335097903,4422.0,0.0,Colour2/Color2_000534,0.10376976084102615,0.9999999998046876,0.10376976084102615,Colour2,point,1387706.0,512.0
0.9928495519300758,0.9340040294781997,0.9340039795808125,1551.0,8407.0,Colour2/Color2_000534,0.8761796998360218,0.8934095750064746,0.978463119305462,Colour2,meniscus,1312217.0,70465.0
0.9896742876837525,0.9080174498183965,0.9080173998299383,5973.0,8407.0,Colour2/Color2_000534,0.8315310987958439,0.8940970472628059,0.9223781676401268,Colour2,all,1307283.0,70977.0
0.9978407915900019,0.2547707558796835,0.2547707336417028,3007.0,0.0,Colour1/Color1_000707,0.1459812553210457,0.9999999998054475,0.1459812553210457,Colour1,point,1389119.0,514.0
0.9904677447150025,0.8186549731557194,0.8186549231560896,6438.0,6837.0,Colour1/Color1_000707,0.6929854992005066,0.8142170049704784,0.823141585624902,Colour1,meniscus,1349401.0,29964.0
0.9883085363050762,0.7891970273689256,0.7891969774249133,9445.0,6837.0,Colour1/Color1_000707,0.6517964071842348,0.8167760954018042,0.7634195826947788,Colour1,all,1345880.0,30478.0
0.9974523207719873,0.22397200349466378,0.22397198360073936,3548.0,0.0,Colour2/Color2_000067,0.12610837438113034,0.9999999998046876,0.12610837438113034,Colour2,point,1388580.0,512.0
0.9945649988510316,0.9596003266555861,0.9596002766557926,3430.0,4139.0,Colour2/Color2_000067,0.9223381660346986,0.9559826014814732,0.963245536957027,Colour2,meniscus,1295179.0,89892.0
0.9920173196230906,0.9420763318999911,0.9420762819104435,6978.0,4139.0,Colour2/Color2_000067,0.8904955624935821,0.9562209788128616,0.9283440471535517,Colour2,all,1291119.0,90404.0
0.9969188017002961,0.18930663139638568,0.18930661425399756,4291.0,0.0,Colour1/Color1_000222,0.10454924874573145,0.9999999998003991,0.10454924874573145,Colour1,point,1387848.0,501.0
0.9958654067094874,0.762105437114683,0.7621053890388341,503.0,5255.0,Colour1/Color1_000222,0.6156464855442517,0.6370355021367796,0.9482829528999764,Colour1,meniscus,1377659.0,9223.0
0.9927842084098553,0.659321286908298,0.6593212369182794,4794.0,5255.0,Colour1/Color1_000222,0.49178172254846614,0.6491755123796703,0.6697892271616628,Colour1,all,1372867.0,9724.0
0.9966703527113255,0.18663392386973104,0.18663390694467755,4637.0,0.0,Colour1/Color1_000078,0.10292126136384366,0.9999999998120301,0.10292126136384366,Colour1,point,1387471.0,532.0
0.9962402343749286,0.8935252968909763,0.8935252472605137,4737.0,499.0,Colour1/Color1_000078,0.8075424538675015,0.9777916240109582,0.8226307709558444,Colour1,meniscus,1365434.0,21970.0
0.9929105870863258,0.820088561691018,0.8200885129972803,9374.0,499.0,Colour1/Color1_000078,0.6950424710403241,0.9783052910700478,0.705922951434603,Colour1,all,1360265.0,22502.0
0.9967514935661049,0.18457101657922548,0.18457099982212152,4524.0,0.0,Colour2/Color2_000484,0.10166799046660707,0.9999999998046876,0.10166799046660707,Colour2,point,1387604.0,512.0
0.99309943704037,0.8701596995151321,0.8701596500919888,826.0,8784.0,Colour2/Color2_000484,0.7701616760720125,0.7856829161157818,0.9749909167949165,Colour2,meniscus,1350828.0,32202.0
0.9898509306065466,0.8223523792755054,0.8223523293676198,5350.0,8784.0,Colour2/Color2_000484,0.6983008879766515,0.7883271482944038,0.8594472467400708,Colour2,all,1345792.0,32714.0
0.997288602941105,0.21854304635309307,0.2185430268823205,3776.0,0.0,Colour2/Color2_000367,0.12267657992280027,0.9999999998106062,0.12267657992280027,Colour2,point,1388336.0,528.0
0.9983161477480902,0.9184205948828721,0.9184205448908164,958.0,1387.0,Colour2/Color2_000367,0.8491476358903238,0.9049153355665667,0.932335075569061,Colour2,meniscus,1377095.0,13200.0
0.9956047506892668,0.8177025940351499,0.817702544529536,4734.0,1387.0,Colour2/Color2_000367,0.6916217441649876,0.9082368508044443,0.7435814104607107,Colour2,all,1372791.0,13728.0
0.9966423483455168,0.18022440392390912,0.18022438752235237,4676.0,0.0,Colour2/Color2_000687,0.09903660886129025,0.9999999998054475,0.09903660886129025,Colour2,point,1387450.0,514.0
0.9976978975183108,0.8885257301777172,0.8885256802894169,2292.0,914.0,Colour2/Color2_000687,0.7994118751123105,0.9332408151272131,0.8478996615512118,Colour2,meniscus,1376657.0,12777.0
0.9943402458638992,0.7712975858844844,0.7712975374250987,6968.0,914.0,Colour2/Color2_000687,0.6277334340876223,0.9356564589867253,0.6560540994093684,Colour2,all,1371467.0,13291.0
0.9973596909466197,0.22377031876242834,0.22377029888433211,3677.0,0.0,Colour2/Color2_000504,0.12598050867302163,0.9999999998113208,0.12598050867302163,Colour2,point,1388433.0,530.0
0.9936904009650023,0.8942128264077939,0.894212776725369,1078.0,7709.0,Colour2/Color2_000504,0.8086663037543632,0.8281044439966372,0.9717919196122781,Colour2,meniscus,1346715.0,37138.0
0.9910500919116936,0.858041002276927,0.8580409523325508,4755.0,7709.0,Colour2/Color2_000504,0.7513763663912244,0.8301121713625182,0.8879145746390215,Colour2,all,1342508.0,37668.0
0.9971385282627961,0.20347791324798165,0.20347789496628793,3985.0,0.0,Colour2/Color2_000805,0.11326212727829858,0.9999999998035363,0.11326212727829858,Colour2,point,1388146.0,509.0
0.9966021369484579,0.9461060112515135,0.9461059613486826,420.0,4312.0,Colour2/Color2_000805,0.8977240797957556,0.9059480445810937,0.9899892742200215,Colour2,meniscus,1346373.0,41535.0
0.9937406652113258,0.9060718711266569,0.9060718211257334,4405.0,4312.0,Colour2/Color2_000805,0.828273674669868,0.9069807576130231,0.9051648044071882,Colour2,all,1341879.0,42044.0
0.9971880744484579,0.20503451075507442,0.2050344923494202,3916.0,0.0,Colour1/Color1_000056,0.11422755032539635,0.9999999998019802,0.11422755032539635,Colour1,point,1388219.0,505.0
