scheme,scheme_name,split,scale_basis,px_per_mm,n,valid_tmh_n,meniscus_dice,meniscus_iou,meniscus_precision,meniscus_recall,meniscus_f1,point_dice,all_dice,point_error_px_mean,point_error_px_median,tmh_mae_px,tmh_mae_mm,tmh_median_abs_error_mm,pred_tmh_mm_mean,gt_tmh_mm_mean,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,total,correct
方案1,方案1_一阶段UNet,test,original_1360x1024,86.0,508,508,0.8770924416999084,0.7885878847211667,0.8673291651036013,0.9016894474621657,0.8770923921875626,0.19954441622885719,0.8061199377938577,11.26703674726429,11.661557272181756,1.720472440944882,0.020005493499359036,0.011627906976744186,0.2573704449734482,0.26016297381431963,0.8661417322834646,0.8568327727161346,0.8507628216559278,0.8521607519710925,0.8642336077455149,508,440
方案2,方案2_ROI二阶段,val,original_1360x1024,86.0,339,334,0.8671667694421876,0.7768602689112974,0.8749748691527203,0.8751360653047459,0.8671667202596128,0.19901086462935616,0.7964023090147274,11.249214003036546,11.794260420884038,1.4760479041916168,0.01716334772315836,0.011627906976744186,0.24874669266118923,0.25132057350620823,0.8772455089820359,0.8650269551818224,0.8584386398745973,0.860972766963208,0.8763250507234889,334,293
方案3,方案3_后处理强化,test,original_1360x1024,86.0,508,508,0.8768723120493547,0.7886081396308325,0.8552130940695617,0.9148208513651022,0.8768722625867637,0.20095756151909938,0.8069373862586608,2.9131029099307897,2.7498076979441306,1.6535433070866141,0.019227247756821053,0.011627906976744186,0.26135323200878974,0.26016297381431963,0.8818897637795275,0.8720721331801689,0.868917497237399,0.8699834553386573,0.8809421783627008,508,448
